All India Item Combined Index (Base 2012=100),,,,
Year,Month,Item-Code,Description,Combined Index
2015,January,6.1.06.2.1.01.0,gold,93.2
2015,February,6.1.06.2.1.01.0,gold,92.9
2015,March,6.1.06.2.1.01.0,gold,90.9
2015,April,6.1.06.2.1.01.0,gold,91.7
2015,May,6.1.06.2.1.01.0,gold,92.7
2015,June,6.1.06.2.1.01.0,gold,91.9
2015,July,6.1.06.2.1.01.0,gold,88.9
2015,August,6.1.06.2.1.01.0,gold,87.9
2015,September,6.1.06.2.1.01.0,gold,89.7
2015,October,6.1.06.2.1.01.0,gold,90.6
2015,November,6.1.06.2.1.01.0,gold,88.5
2015,December,6.1.06.2.1.01.0,gold,87.4
2016,January,6.1.06.2.1.01.0,gold,89.2
2016,February,6.1.06.2.1.01.0,gold,94.7
2016,March,6.1.06.2.1.01.0,gold,96.6
2016,April,6.1.06.2.1.01.0,gold,98.2
2016,May,6.1.06.2.1.01.0,gold,100.4
2016,June,6.1.06.2.1.01.0,gold,100.2
2016,July,6.1.06.2.1.01.0,gold,102.7
2016,August,6.1.06.2.1.01.0,gold,104.4
2016,September,6.1.06.2.1.01.0,gold,104.9
2016,October,6.1.06.2.1.01.0,gold,102.8
2016,November,6.1.06.2.1.01.0,gold,103.2
2016,December,6.1.06.2.1.01.0,gold,97
2017,January,6.1.06.2.1.01.0,gold,98.2
2017,February,6.1.06.2.1.01.0,gold,100.1
2017,March,6.1.06.2.1.01.0,gold,99.5
2017,April,6.1.06.2.1.01.0,gold,99.9
2017,May,6.1.06.2.1.01.0,gold,98.5
2017,June,6.1.06.2.1.01.0,gold,99
2017,July,6.1.06.2.1.01.0,gold,97.6
2017,August,6.1.06.2.1.01.0,gold,98.9
2017,September,6.1.06.2.1.01.0,gold,101.3
2017,October,6.1.06.2.1.01.0,gold,101.5
2017,November,6.1.06.2.1.01.0,gold,101.4
2017,December,6.1.06.2.1.01.0,gold,99.5
2018,January,6.1.06.2.1.01.0,gold,101.7
2018,February,6.1.06.2.1.01.0,gold,103.4
2018,March,6.1.06.2.1.01.0,gold,103.9
2018,April,6.1.06.2.1.01.0,gold,105.4
2018,May,6.1.06.2.1.01.0,gold,106.3
2018,June,6.1.06.2.1.01.0,gold,105.7
2018,July,6.1.06.2.1.01.0,gold,104.4
2018,August,6.1.06.2.1.01.0,gold,102.7
2018,September,6.1.06.2.1.01.0,gold,104.3
2018,October,6.1.06.2.1.01.0,gold,106.4
2018,November,6.1.06.2.1.01.0,gold,105.7
2018,December,6.1.06.2.1.01.0,gold,106.5
2019,January,6.1.06.2.1.01.0,gold,109.1
2019,February,6.1.06.2.1.01.0,gold,112.5
2019,March,6.1.06.2.1.01.0,gold,110.1
2019,April,6.1.06.2.1.01.0,gold,108.9
2019,May,6.1.06.2.1.01.0,gold,109.4
2019,June,6.1.06.2.1.01.0,gold,112.4
2019,July,6.1.06.2.1.01.0,gold,116.1
2019,August,6.1.06.2.1.01.0,gold,124.6
2019,September,6.1.06.2.1.01.0,gold,128.2
2019,October,6.1.06.2.1.01.0,gold,129.1
2019,November,6.1.06.2.1.01.0,gold,129.7
2019,December,6.1.06.2.1.01.0,gold,129.8
2020,January,6.1.06.2.1.01.0,gold,135.5
2020,February,6.1.06.2.1.01.0,gold,139.4
2020,June,6.1.06.2.1.01.0,gold,160.6
2020,July,6.1.06.2.1.01.0,gold,168.4
2020,August,6.1.06.2.1.01.0,gold,180.3
2020,September,6.1.06.2.1.01.0,gold,174
2020,October,6.1.06.2.1.01.0,gold,172.8
2020,November,6.1.06.2.1.01.0,gold,172.5
2020,December,6.1.06.2.1.01.0,gold,169.6
2021,January,6.1.06.2.1.01.0,gold,170
2021,February,6.1.06.2.1.01.0,gold,162.6
2021,March,6.1.06.2.1.01.0,gold,154.7
2021,April,6.1.06.2.1.01.0,gold,158.9
2021,May,6.1.06.2.1.01.0,gold,163.6
2021,June,6.1.06.2.1.01.0,gold,163.7
2021,July,6.1.06.2.1.01.0,gold,163.8
2021,August,6.1.06.2.1.01.0,gold,162.1
2021,September,6.1.06.2.1.01.0,gold,160.6
2021,October,6.1.06.2.1.01.0,gold,161.8
2021,November,6.1.06.2.1.01.0,gold,164.7
2021,December,6.1.06.2.1.01.0,gold,164.4
2022,January,6.1.06.2.1.01.0,gold,164.2
2022,February,6.1.06.2.1.01.0,gold,166.4
2022,March,6.1.06.2.1.01.0,gold,173.2
2022,April,6.1.06.2.1.01.0,gold,175.8
2022,May,6.1.06.2.1.01.0,gold,171.8
2022,June,6.1.06.2.1.01.0,gold,172.2
2022,July,6.1.06.2.1.01.0,gold,170.4
2022,August,6.1.06.2.1.01.0,gold,172.5
2022,September,6.1.06.2.1.01.0,gold,169.2
2022,October,6.1.06.2.1.01.0,gold,170.4
2022,November,6.1.06.2.1.01.0,gold,173
2022,December,6.1.06.2.1.01.0,gold,178.8
2023,January,6.1.06.2.1.01.0,gold,186
2023,February,6.1.06.2.1.01.0,gold,189.1
2023,March,6.1.06.2.1.01.0,gold,191.7
2023,April,6.1.06.2.1.01.0,gold,200.1
2023,May,6.1.06.2.1.01.0,gold,203
2023,June,6.1.06.2.1.01.0,gold,200
2023,July,6.1.06.2.1.01.0,gold,198.9
2023,August,6.1.06.2.1.01.0,gold,198.5
2023,September,6.1.06.2.1.01.0,gold,198.8
2023,October,6.1.06.2.1.01.0,gold,198.6
2023,November,6.1.06.2.1.01.0,gold,203.3
2023,December,6.1.06.2.1.01.0,gold,207.3
2024,January,6.1.06.2.1.01.0,gold,208.6
2024,February,6.1.06.2.1.01.0,gold,208.4
2024,March,6.1.06.2.1.01.0,gold,216.5
2024,April,6.1.06.2.1.01.0,gold,235.7
2024,May,6.1.06.2.1.01.0,gold,240
2024,June,6.1.06.2.1.01.0,gold,239.6
2024,July,6.1.06.2.1.01.0,gold,240.3
2024,August,6.1.06.2.1.01.0,gold,237.4
2024,September,6.1.06.2.1.01.0,gold,244.5
2024,October,6.1.06.2.1.01.0,gold,256.1
2024,November,6.1.06.2.1.01.0,gold,257.5
2024,December,6.1.06.2.1.01.0,gold,257.2
2025,January,6.1.06.2.1.01.0,gold,263.6
2025,February,6.1.06.2.1.01.0,gold,282.6
2025,March,6.1.06.2.1.01.0,gold,290.4
2025,April,6.1.06.2.1.01.0,gold,308.5
2025,May,6.1.06.2.1.01.0,gold,317.8
2025,June,6.1.06.2.1.01.0,gold,325.7
2025,July,6.1.06.2.1.01.0,gold,326.9
2025,August,6.1.06.2.1.01.0,gold,333.2
2025,September,6.1.06.2.1.01.0,gold,359.4
2025,October,6.1.06.2.1.01.0,gold,404.2
2025,November,6.1.06.2.1.01.0,gold,408.4
2025,December,6.1.06.2.1.01.0,gold,433.9
