Date,Return_%,Event,Economic_Explanation
2006-04,11.36,Commodity Rally,Strong global commodity demand pushed precious metal prices higher.
2006-05,10.88,Commodity Rally,Bullish commodity cycle increased investor interest in gold.
2006-06,-10.27,Profit Booking,Sharp correction after rapid gains and profit booking by investors.
2008-01,9.76,Pre-GFC Uncertainty,Investors began moving toward safer assets before the financial crisis intensified.
2008-04,-6.52,GFC Volatility Begins,Financial market instability increased volatility in gold prices.
2008-08,-9.12,Global Financial Crisis,Global market panic caused large portfolio shifts and abnormal gold movements.
2009-02,9.63,Flight to Safety,Investors sought safe-haven assets amid financial uncertainty.
2011-08,14.04,Euro Debt Crisis,European sovereign debt concerns and US credit downgrade boosted gold demand.
2013-08,11.9,Taper Tantrum & INR Crisis,Rupee depreciation and taper fears sharply increased domestic gold prices.
2016-12,-7.28,Post US Election & Demonetization,Market uncertainty after demonetization and global political events.
2020-04,15.51,COVID Pandemic,"Lockdowns, uncertainty, and safe-haven demand drove a historic surge in gold."
2022-06,-8.59,Russia-Ukraine War,War-driven inflation fears and central bank tightening created volatility.
2023-11,9.96,Israel-Hamas Conflict,Geopolitical tensions increased demand for safe assets.
2024-04,9.69,Election Year & Central Bank Buying,Election uncertainty and record central-bank purchases supported gold prices.
2025-09,9.88,Global Gold Rally,Strong global demand and expectations of monetary easing.
2025-10,11.65,Tariff / Geopolitical Tension,Trade/tariff concerns and geopolitical uncertainty increased safe-haven buying.
2026-01,11.31,Continuation of Safe-Haven Demand,Continuation of global uncertainty and persistent demand for gold.
